ID;Paired;Age;AgeStrateBigger;Sex;Condition;Groups;Time;Error;Easiness
154;77;25;18-25;Male;Mute;Male-Mute;3199;0;3
155;78;26;26-40;Male;Sound;Male-Sound;2917;0;5
156;78;26;26-40;Male;Mute;Male-Mute;3309;0;5
157;79;26;26-40;Male;Sound;Male-Sound;3970;0;4
158;79;26;26-40;Male;Mute;Male-Mute;3550;3;6
159;80;26;26-40;Male;Sound;Male-Sound;2923;0;6
160;80;26;26-40;Male;Mute;Male-Mute;3363;1;5
161;81;26;26-40;Male;Sound;Male-Sound;3212;1;6
162;81;26;26-40;Male;Mute;Male-Mute;3488;0;5
163;82;26;26-40;Male;Sound;Male-Sound;3212;2;
164;82;26;26-40;Male;Mute;Male-Mute;3607;3;
165;83;27;26-40;Male;Sound;Male-Sound;4047;5;5
166;83;27;26-40;Male;Mute;Male-Mute;3813;9;3
167;84;30;26-40;Male;Sound;Male-Sound;5177;0;6
168;84;30;26-40;Male;Mute;Male-Mute;5163;2;6
169;85;30;26-40;Male;Sound;Male-Sound;2726;0;6
170;85;30;26-40;Male;Mute;Male-Mute;2975;0;6
171;86;34;26-40;Male;Sound;Male-Sound;3893;3;3
172;86;34;26-40;Male;Mute;Male-Mute;3598;2;4
173;87;35;26-40;Male;Sound;Male-Sound;4340;13;4
174;87;35;26-40;Male;Mute;Male-Mute;4248;8;4
175;88;37;26-40;Male;Sound;Male-Sound;4181;2;6
176;88;37;26-40;Male;Mute;Male-Mute;4756;3;6
177;89;38;26-40;Male;Sound;Male-Sound;3317;1;4
178;89;38;26-40;Male;Mute;Male-Mute;4045;0;5
179;90;42;41+;Male;Sound;Male-Sound;4671;1;4
180;90;42;41+;Male;Mute;Male-Mute;4044;4;5
181;91;44;41+;Male;Sound;Male-Sound;4327;2;4
182;91;44;41+;Male;Mute;Male-Mute;3842;1;5
183;92;45;41+;Male;Sound;Male-Sound;4390;28;4
184;92;45;41+;Male;Mute;Male-Mute;4321;25;4
185;93;48;41+;Male;Sound;Male-Sound;3668;13;5
186;93;48;41+;Male;Mute;Male-Mute;3816;7;6
187;94;48;41+;Male;Sound;Male-Sound;3461;4;4
188;94;48;41+;Male;Mute;Male-Mute;3650;8;6
189;95;53;41+;Male;Sound;Male-Sound;6130;24;4
190;95;53;41+;Male;Mute;Male-Mute;5789;28;3
191;96;54;41+;Male;Sound;Male-Sound;5653;28;3
192;96;54;41+;Male;Mute;Male-Mute;3542;25;5
193;97;58;41+;Male;Sound;Male-Sound;3174;7;4
194;97;58;41+;Male;Mute;Male-Mute;3363;4;4
195;98;59;41+;Male;Sound;Male-Sound;4922;28;4
196;98;59;41+;Male;Mute;Male-Mute;7891;29;
197;99;65;41+;Male;Sound;Male-Sound;4163;28;3
198;99;65;41+;Male;Mute;Male-Mute;6100;27;3
199;100;73;41+;Male;Sound;Male-Sound;4719;3;5
200;100;73;41+;Male;Mute;Male-Mute;5553;9;4
